Temperature,Luminosity,Infrared,Distance,CreatedAt,Source
24.77,63.96,0,242.96,01/03/2020 10:22:01,FlashLight
24.77,64.06,0,301.72,01/03/2020 10:22:02,FlashLight
24.77,64.06,0,71.52,01/03/2020 10:22:03,FlashLight
24.44,63.18,0,366.22,01/03/2020 10:22:04,FlashLight
24.12,69.14,0,350.8,01/03/2020 10:22:05,FlashLight
23.8,65.62,0,13.86,01/03/2020 10:22:06,FlashLight
23.8,66.41,0,290.37,01/03/2020 10:22:07,FlashLight
24.77,68.85,0,382.72,01/03/2020 10:22:08,FlashLight
24.77,69.14,0,322.63,01/03/2020 10:22:09,FlashLight
24.44,67.58,0,366.69,01/03/2020 10:22:10,FlashLight
23.8,61.91,0,400,01/03/2020 14:22:11,FlashLight
24.12,54.79,0,321.3,01/03/2020 14:22:12,FlashLight
23.48,90.33,0,11.61,01/03/2020 14:22:13,FlashLight
24.44,100,0,10.78,01/03/2020 14:22:14,FlashLight
24.12,100,0,364.7,01/03/2020 14:22:15,FlashLight
23.48,83.59,0,394.32,01/03/2020 14:22:16,FlashLight
24.12,79.49,0,317.08,01/03/2020 14:22:17,FlashLight
23.48,84.18,0,369.19,01/03/2020 14:22:18,FlashLight
24.77,88.38,0,218.91,01/03/2020 14:22:19,FlashLight
23.48,87.6,0,318.49,01/03/2020 15:22:20,FlashLight
23.48,79,0,399.53,01/03/2020 15:22:21,FlashLight
23.48,84.67,0,95.86,01/03/2020 15:22:22,FlashLight
23.48,87.6,0,343.57,01/03/2020 15:22:23,FlashLight
24.77,60.94,0,78.83,01/03/2020 15:22:24,FlashLight
23.48,95.31,0,73.24,01/03/2020 15:22:25,FlashLight
23.48,92.77,0,73.64,01/03/2020 15:22:26,FlashLight
23.48,93.16,0,73.86,01/03/2020 16:22:27,FlashLight
23.48,84.77,0,399.49,01/03/2020 16:22:28,FlashLight
23.8,88.67,0,325.6,01/03/2020 16:22:29,FlashLight
24.77,87.11,0,68.15,01/03/2020 16:22:30,FlashLight
24.77,86.23,0,66.11,01/03/2020 16:22:31,FlashLight
24.44,84.77,0,66.15,01/03/2020 16:22:32,FlashLight
24.77,82.13,0,66.19,01/03/2020 16:22:33,FlashLight
24.77,83.3,0,64.68,01/03/2020 16:22:34,FlashLight
24.77,81.35,0,73.78,01/03/2020 16:22:35,FlashLight
24.44,89.55,0,68.42,01/03/2020 16:22:36,FlashLight
24.44,95.61,0,69.64,01/03/2020 17:22:37,FlashLight
24.77,94.43,0,68.61,01/03/2020 17:22:38,FlashLight
24.77,89.26,0,67.07,01/03/2020 17:22:39,FlashLight
24.12,84.77,0,67.14,01/03/2020 17:22:40,FlashLight
24.44,83.5,0,68.91,01/03/2020 17:22:41,FlashLight
24.44,82.32,0,400,01/03/2020 17:22:42,FlashLight
23.48,83.69,0,63.88,01/03/2020 17:22:43,FlashLight
24.12,81.54,0,37.69,01/03/2020 17:22:44,FlashLight
24.44,80.27,0,400,01/03/2020 18:22:45,FlashLight
24.12,77.05,0,67.24,01/03/2020 18:22:46,FlashLight
25.89,25.59,94.63,19.84,01/03/2020 18:22:47,Infrared
25.89,34.18,95.51,400,01/03/2020 18:22:48,Infrared
25.89,24.9,77.83,400,01/03/2020 18:22:49,Infrared
24.14,42.87,0,6.79,01/03/2020 18:22:50,FlashLight
24.14,40.82,0,8.79,01/03/2020 18:22:51,FlashLight
24.14,50.29,0,8.52,01/03/2020 18:22:52,FlashLight
24.14,100,0,7.13,01/03/2020 18:22:53,FlashLight
24.14,100,0,7.48,01/03/2020 18:22:54,FlashLight
24.14,62.4,0,8.8,01/03/2020 18:22:55,FlashLight
24.82,50.49,0,8.84,01/03/2020 18:22:56,FlashLight
24.14,50.1,0,9.42,01/03/2020 18:22:57,FlashLight
24.63,4.1,0,400,02/03/2020 10:22:58,Day
24.63,5.37,0,156.23,02/03/2020 10:22:59,Day
24.63,4,0,154.5,02/03/2020 10:23:00,Day
